dapp, proxy_contract, logic_contract, main_name, sol_path, version, attack_tx
bzx_dai,0x6b093998d36f2c7f0cc359441fbb24cc629d5ff0,0x1e9682d8c780790a5d5a9cb234634c8cc849e0b5,LoanTokenLogicStandard,bzx_dai/0x6b093998d36f2c7f0cc359441fbb24cc629d5ff0/0x1e9682d8c780790a5d5a9cb234634c8cc849e0b5/SourceCode/bzx_dai.sol,0.5.17,0x93f9b401b80152b2e8411f13384cfe9b59a9e7cef8698c7dbb8ad6c76f2c5112
visor,0xC9f27A50f82571C1C8423A42970613b8dBDA14ef,0xC9f27A50f82571C1C8423A42970613b8dBDA14ef,RewardsHypervisor,visor/0xc9f27a50f82571c1c8423a42970613b8dbda14ef/0xc9f27a50f82571c1c8423a42970613b8dbda14ef/SourceCode/contracts/RewardsHypervisor.sol,0.7.6,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f
umbrella,0xb3fb1d01b07a706736ca175f827e4f56021b85de,0xb3fb1d01b07a706736ca175f827e4f56021b85de,StakingRewards,umbrella/0xb3fb1d01b07a706736ca175f827e4f56021b85de/0xb3fb1d01b07a706736ca175f827e4f56021b85de/SourceCode/contracts/staking/StakingRewards.sol,0.7.5,0x6e16b76986647ce08a4b9131cd0db5cf78007f4a86daaf8c25606842f17ffc29
akropolis,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,0x1cec0e358f882733c5ecc028d8a0c24baee02004,SavingsModule,akropolis/0x73fc3038b4cd8ffd07482b92a52ea806505e5748/0x1cec0e358f882733c5ecc028d8a0c24baee02004/SourceCode/akropolis.sol,0.5.17,0x3db8d4618aa3b97eeb3af01f01692897d14f2da090d5d6407f550a1b10c15133
value_defi,0x8764f2c305b79680cfcc3398a96aedea9260f7ff,0x8764f2c305b79680cfcc3398a96aedea9260f7ff,ValueMultiVaultBank,value_defi/0x8764f2c305b79680cfcc3398a96aedea9260f7ff/0x8764f2c305b79680cfcc3398a96aedea9260f7ff/SourceCode/value_defi.sol,0.6.12,0x46a03488247425f845e444b9c10b52ba3c14927c687d38287c0faddc7471150a
ousd,0x277e80f3e14e7fb3fc40a9d6184088e0241034bd,0x328d15f6b5eba1c30cde1a5f1f5a9e35b07f5424,VaultCore,ousd/0x277e80f3e14e7fb3fc40a9d6184088e0241034bd/0x328d15f6b5eba1c30cde1a5f1f5a9e35b07f5424/SourceCode/ousd.sol,0.5.11,0xe1c76241dda7c5fcf1988454c621142495640e708e3f8377982f55f8cf2a8401
harvest_finance,0xf0358e8c3CD5Fa238a29301d0bEa3D63A17bEdBE,0x9b3be0cc5dd26fd0254088d03d8206792715588b,Vault,harvest_finance/0xf0358e8c3cd5fa238a29301d0bea3d63a17bedbe/0x9b3be0cc5dd26fd0254088d03d8206792715588b/SourceCode/harvest_finance.sol,0.5.16,0x3db8d4618aa3b97eeb3af01f01692897d14f2da090d5d6407f550a1b10c15133
rari,0xD6e194aF3d9674b62D1b30Ec676030C23961275e,0xce346ad7046222fd119f6b715b6f60c0fdbfe796,RariFundManager,rari/0xd6e194af3d9674b62d1b30ec676030c23961275e/0xce346ad7046222fd119f6b715b6f60c0fdbfe796/SourceCode/home/david/repc-v1.1.0/contracts/RariFundManager.sol,0.5.17,0x171072422efb5cd461546bfe986017d9b5aa427ff1c07ebe8acc064b13a7b7be
punk_dai,0x929cb86046e421abf7e1e02de7836742654d49d6,0x929cb86046e421abf7e1e02de7836742654d49d6,CompoundModel,punk_dai/0x929cb86046e421abf7e1e02de7836742654d49d6/0x929cb86046e421abf7e1e02de7836742654d49d6/SourceCode/Users/jacob/Developer/DeFiWorkspace/punk.protocol/contracts/models/CompoundModel.sol,0.8.6,0x7604c7dd6e9bcdba8bac277f1f8e7c1e4c6bb57afd4ddf6a16f629e8495a0281
popsicle_usdt_weth,0xc4ff55a4329f84f9Bf0F5619998aB570481EBB48,0xc4ff55a4329f84f9Bf0F5619998aB570481EBB48,SorbettoFragola,popsicle_usdt_weth/0xc4ff55a4329f84f9bf0f5619998ab570481ebb48/0xc4ff55a4329f84f9bf0f5619998ab570481ebb48/SourceCode/popsicle_usdt_weth.sol,0.7.6,0xcd7dae143a4c0223349c16237ce4cd7696b1638d116a72755231ede872ab70fc
